,Edad (años),Peso (Kg),Estatura (metros),Horas de actividad física por semana,Horas de sueño por día,Horas por día sentado,Idas al baño (por día),Comidas por día,Cantidad de agua bebida por día (litros),Consumo de alcohol por semana (litros),cantidad de tabaco por semana (no. de cajetillas),"Consumo de bebidas azucaradas por día en litros (refrescos, jugos, etc)",Consumes comida chatarra de forma cotidiana ,Padeces alguna enfermedad que te impida hacer ejercicio?,Consideras tener buena Salud Física
0,18,70,1.82,12,7.5,4,3.0,5,2 ,0,0,0,0,0,1
1,18,75,1.8,21,6,8,3.0,3,1.5,0.2,0,0.5,1,0,0
2,18,58,1.62,2,8,9,2.0,3,2,1,0,0,0,0,0
3,18,78,1.78,20,6,6,15.0,5,2,0,0,0,0,0,1
4,19,48,1.56,2,7,6,4.0,2,6,2,5,1,0,0,0
5,18,56,1.58,7,9,3,4.0,3,2,0,0,1,0,0,1
6,21,59,1.5,2,5,8,3.0,2,3,0,0,1,0,0,0
7,18,58,1.64,90,10,7,5.0,2,2,2,0,1,0,0,0
8,20,66,1.78,6,7,6,4.0,5,2,0,0,0,1,0,1
9,18,80,1:85,5,9,3,2.0,3,3,,,3 ,1,0,0
10,18,1.65,1.59,5,6,10,4.0,4,2,0,0,0,0,1,0
11,18,58,1.6,10,7,10,4.0,3,1.5,0.5,0,0,0,0,1
12,18,62,1.55,1,7,9,5.0,3,2,0,0,0,0,0,1
13,19,65,1.68,10,6,10,2.0,4,2.5,0.5,0,0,0,0,1
14,19,60,1.65,1.5,8,4,1.0,5,2 ,0,0,0.5,1,0,1
15,18,60,1.65,6,6,8,2.0,2,3,0,0,1,1,0,0
16,18,73,1.83,0,9,15,8.0,5,2,0,0,0,0,0,1
17,17,62,1.72,10,7,9,7.0,5,2.5,0,0,0,1,0,1
18,20,91,1.65,6,7.5,3,3.0,4,1.5,0.5,0,2,1,0,1
19,18,85,1.7,7,8,8,1.0,3,1.5,0,1,0,0,0,1
20,19,85,1.6,5,8,2,3.0,3,1,0,0,1,1,0,0
21,19,61,1.73,5,7,6,3.0,5,3,1,0,1,0,0,1
22,18,40,1.64,4,6,5,3.0,2,2,1,1,0,0,0,0
23,19,45,1.6,5,6,8,2.0,2,1,0,0,1,0,0,0
24,19,65,1.7,6,9,6,2.0,3,2,0,2,6,0,0,1
25,18,58,1.6,4 ,8 ,6 ,2.0,3,2 ,0,0,1,1,0,0
26,18,60,171,6,4,6,3.0,2,3,1,0,4,0,0,1
27,18,89,1.81,4,5,4,2.0,3,1,0,0,0.5,0,0,0
28,22,76,1.74,0,6,4,2.0,3,2 ,0.8,0,1 ,1,0,0
29,18,66,1.66,19,6,8,5.0,3,2,0,0,0,0,0,1
30,18,50,1.68,4,9,4,3.0,3,2,1,0,0,0,0,1
31,17,73,1.72,0,6,11,1.0,3,5,0,0,1,0,1,1
32,26,77,1.77,4,9,5,5.0,3,1.5,0.5,0,0.5,0,0,1
33,18,64,1.72,7,6,6,4.0,3,1,0,0,.,0,0,1
34,18,45,1.56,1,6,10,2.0,3,1,0.5,0,0.5,1,0,0
35,17,64,65,5,8,3,5.0,5,3  ,0,0,0,0,0,1
36,17,69,1.8,6,7,2,4.0,3,6,0,0,1,0,0,1
37,23,67,1.63,10,7,3,1.0,3,4,0,0,2,1,0,0
38,18,60,1.65,4,7,6,2.0,4,3,2,0,0,1,0,
39,18,75,"1,63",1,6,8,5.0,3,2 ,0,0,0.25 ,1,0,0
40,17  ,64,1.71,9,7.5,3,3.0,5,2,0,0,0.5,0,0,1
41,17,87,1.87,14,7,2,5.0,3,4,2,0,3,0,0,1
42,18,57,1.78,2,6,8,4.0,3,1,1,0,3,1,0,0
43,38,60,1.61,5,8,6,5.0,3,1.5,0,0,0.5,0,0,1
44,18,50,1.5,1,8,7,5.0,2,2,0,0,0.5,1,0,0
45,11 ,34 ,1.45,3 ,8 ,5 ,5.0,5,1,0,0,0.5,1,0,0
46,19,93,1.83,7,7,6,1.0,2,3,0,0,0,0,0,1
47,18,49,1.65,12,8,8,2.0,6,2,0,0,0,0,0,1
48,18,60,1.6,5,7,7,3.0,3,1.5,0,0,1,0,0,1
49,18,55,1.59,0,6,12,2.0,3,2,0.5,0,1,1,0,0
50,22,72,1.7,2,5,3,5.0,5,2 ,0.5, ,Ninguno,0,0,1
51,18,61,1.77,0,8,12,3.0,4,1,1,3,2,1,0,0
52,10,46,1.45,3,7,4,6.0,4,3,0,0,2,0,0,1
53,18,80,1.75,8,35,90,2.0,4,4,0,0,4,0,0,1
54,18,57,1.6,1,7.5,6 ,2.0,3,2,0,0,1,0,0,1
55,18,49,1.5,2,6,10,3.0,5,2,6,0,1,1,0,0
56,18,58,1.74,1 hora,6.5,4,3.0,3,2 ,0,0,1 ,1,0,1
57,21,86,1.74,12,5,4,2.0,3,3,4,0,0,0,0,1
58,19,67,1.72,7,1,3,4.0,3,1,2,0,2,1,0,0
59,18,43,1.52,2,8,7,2.0,3,2,2,0,0,0,0,1
60,20,80,1.64,10,5,3,8.0,5,3  ,2,0,0.5,1,0,0
61,28,115,168,0,6,5,2.0,3,1.5,0.5,0,.5,0,0,1
62,19,88,1.8,6.5 ,8 ,4,3.0,3,1 ,3  ,0,0.5,1,0,0
63,19,65,1.54,5,6,8,3.0,2,1,0,0,2,0,0,0
64,21,48,1.52  ,5,9,5,2.0,3,1,0,0,1 litro,0,0,1
65,15,66,1.7,5,1,6,3.0,3,4,0,0,0.5,0,0,1
66,17,81,1.76,6,7,5,5.0,3,3 ,1 L,0,0.5 ,0,0,1
67,14,55 ,"1,69",8,9,8,5.0,4,2,0,0,0,1,0,1
68,18,78,1.81,7,7,10,3.0,3,2,0,0,0,0,0,1
69,18,49,1.6,2,5,6,,3,2.4,0,0,0.8,0,0,1
